State_Num,City_Num,EMPLOYER_num,OCCUPATION_num,party_label
5,15012,1,1,0
46,2878,2,2,1
12,616,161333,32,1
5,20,4,27,1
22,2716,668,1119,1
39,4042,2,2,1
12,225,1,1,0
6,1597,2,2,1
5,522,3,3,1
6,1969,2,2,1
5,1066,1,1,0
5,839,3,3,1
21,131,1,1,0
42,1702,2,2,1
12,532,3013,95,0
21,2629,2,2,1
37,2366,3,3,1
12,119,2,2,1
17,114,25886,99,0
18,1322,4,51,0
2,7767,20,224,1
12,3280,2,2,1
12,3081,1,1,0
12,12248,2,2,1
38,2440,5,2,1
37,2264,1,1,1
17,128,5,1,0
32,1699,1,1,0
47,1915,1,1,0
12,186,4,2813,1
37,3075,3,2,1
23,5616,20203,229,1
5,440,1,1,0
19,1256,1564,7,1
19,1013,18134,23,0
21,2240,1,1,0
6,1594,2,2,1
40,1366,39614,13,0
28,5490,2,2,1
2,2,3,1,1
37,1375,2,2,1
40,762,1,1,0
2,2,13990,13,0
2,1178,1,1,0
17,311,4,2385,1
10,6243,5,2,1
6,402,166,11,0
5,481,2,2,1
20,484,3,3,1
16,865,1,1,0
38,869,5,18,0
15,315,4,4074,0
4,3189,2,2,1
2,2,1,1,1
19,1413,1,1,0
12,1175,2267,175,1
12,1141,3,1,1
16,991,18688,8618,1
21,132,162811,168,1
21,132,2,2,1
15,600,3,2,1
23,2352,5263,21,1
12,3081,284,721,1
12,1482,5,2,1
35,684,1,1,0
12,276,3,1,1
41,17140,2,2,1
20,1893,116170,6,1
20,341,5,2,1
38,9893,77945,1,1
4,1981,4,20,0
12,974,1,1,0
27,224,1,1,0
48,1521,24294,49233,0
15,267,1,1,0
2,2,2,2,1
5,1329,1,1,0
2,2,171199,282,1
37,3571,2,2,1
41,490,1,1,0
24,2477,5727,639,0
11,14,212,60,0
23,3815,25023,36,1
12,232,5,2,1
12,1522,4,32,0
12,41,141,339,1
3,3552,1,1,0
37,3568,1,1,0
12,5443,83891,18222,0
35,681,4907,4,1
21,491,3134,7004,0
42,8476,2,2,1
37,437,1,1,0
2,2,8,141,1
17,531,1999,16,1
2,3491,1,1,0
19,302,1,1,0
46,2063,1,1,0
37,9669,5,1,1
4,2930,62116,486,0
44,3895,1,1,0
19,6198,4,49,1
4,2252,1990,1702,0
43,12132,3,2,1
12,67,1,1,0
6,660,1,1,0
12,263,1,1,0
37,1933,3,3,1
12,1192,40,634,1
12,1192,2,2,1
17,4743,23,526,1
23,937,1,1,0
23,75,2,2,1
6,62,2,2,1
7,470,496,312,1
4,98,118,1,1
21,1810,1,1,0
47,434,2,2,1
17,311,792,980,1
5,376,10843,3,1
5,834,1,1,0
20,484,14208,4983,0
10,2384,104,17,1
6,1479,1,1,0
12,18,2,2,1
16,1943,20856,11,1
12,193,623,21,1
7,5282,1,1,0
9,391,4,26704,0
19,1240,2,2,1
