State_Num,City_Num,EMPLOYER_num,OCCUPATION_num,party_label
4,1195,3,2,1
14,1440,2,2,1
44,226,2,2,1
24,943,1,1,0
16,6075,2,2,1
20,162,1,1,0
37,994,2,1,1
16,2899,147313,5723,0
17,121,5,2,1
3,617,3,2,1
20,2655,1,1,0
28,6451,1,1,0
6,6781,9494,6,0
4,1290,2,2,1
15,1439,2,2,1
2,2,3915,279,1
21,3698,1,1,0
35,3943,4,113,1
37,3617,1,1,0
5,930,2,2,1
28,3100,2,2,1
27,1713,1,1,0
38,1082,1,1,0
44,1335,1,1,0
4,758,2,2,1
47,1082,1,1,0
21,2992,6480,261,0
5,776,47102,797,1
2,2532,2,2,1
10,125,4,39,1
2,2411,6,216,1
19,302,1,1,0
49,3850,5,1,0
27,224,1601,10,1
12,2341,18,2886,1
5,864,1,1,0
16,1138,2923,5,0
4,1946,2,2,1
17,114,846,565,0
12,1069,3,3,1
12,1745,2,2,1
21,112,1,1,0
16,12327,2,2,1
6,2116,1,1,0
4,682,1,1,0
12,276,463,15,1
2,7490,100942,31,1
5,10762,1,1,0
2,537,2,2,1
12,223,2,2,1
51,3349,1,1,0
28,3408,2,2,1
3,2915,15733,277,0
11,14,4,4,0
7,470,1842,324,1
37,3616,464,3440,1
12,232,2,1,1
12,1845,1,1,0
12,218,2,2,1
12,690,3,1,1
21,1583,1,1,0
21,1958,2,2,1
2,2,5498,4,1
2,4256,7,18,0
11,14,4,8,1
6,1140,1,1,0
24,171,12466,1268,1
2,2,5,2,1
37,1470,11477,8364,1
26,4585,1,1,0
2,2,1,1,0
38,3634,2927,21,0
40,1675,2,2,1
12,193,2,1,1
7,1728,1,1,0
37,1375,2,2,1
5,66,27731,238,1
14,25,5,1,1
28,5306,309,176,0
5,45,17354,6,1
5,481,2,2,1
12,2631,4,291,1
3,637,13223,21,1
17,114,2105,99,1
4,24,3,3,1
49,5265,2,2,1
12,2376,32,677,1
19,1964,1,1,0
12,358,1,1,0
15,164,1,1,0
47,4940,1,1,0
12,628,2,2,1
6,2175,1,1,0
17,1850,3,2,1
5,45,1,1,0
41,1019,1,1,0
28,1535,2,2,1
28,1948,2,2,1
15,449,5161,2528,1
16,898,2,2,1
22,4648,1,1,0
12,180,6742,4373,1
22,56,2,2,1
16,3944,2,2,1
7,1284,1,1,0
32,140,1,1,0
5,66,1,1,0
6,1558,1181,36,0
10,2482,1,1,0
2,2,3,1,1
4,758,2,2,1
28,713,2,2,1
28,3505,3460,88,1
12,220,7791,4575,0
12,3288,572,21,1
40,1930,592,207,1
6,272,5,1,0
8,1605,169466,13,1
12,823,5,2,1
6,2355,1,1,0
5,923,1,1,0
3,606,1,1,1
4,4144,5,2,1
12,1192,3,3,1
12,220,1902,7,1
17,117,113786,33,1
40,3523,1,1,0
5,6471,4,10643,0
35,762,1,1,1
5,738,177,52,0
17,123,1,1,0
38,3930,1,1,0
18,1723,3,2,1
24,1502,1,1,0
24,154,20339,9242,0
5,1151,4,1967,0
12,1192,2,2,1
37,2970,3,1,1
2,2,2,2,1
2,5479,125121,12,0
5,522,120026,12,0
5,1281,1,1,0
22,6647,1,1,0
12,16,2,2,1
4,98,3,3,0
17,35,2,2,1
